short_description,category
"I was with a client the other day and when I asked her what she wanted her garden to 'say' she responded ""I want to feel",HOME & LIVING
"And they'll match her style, too.",HOME & LIVING
What does a sweet tooth and sustainable skin care have in common? We’re here to report on an indulgent intersection. For,HOME & LIVING
Starting with this amazing 1940s Italian Tole chandelier.,HOME & LIVING
"These days, mailing a letter can feel a bit, well, slow. But that's also what makes it such a special gesture. We love knowing",HOME & LIVING
It boasts one thousand feet of water frontage -- need we say more?,HOME & LIVING
"As a woman and a jewelry designer, I understand what it means to adorn a woman's body with my pieces,"" Amrita told me. ""Now, I'm working with a larger canvas -- a woman's home -- and there is no better way to engage a woman's soul than to help her adorn her home.""",HOME & LIVING
There's not a hint of Don Draper in this gorgeous space.,HOME & LIVING
"It will no longer be a ""black hole.""",HOME & LIVING
4. This is a pretty grand staircase for a basement. Traditional Basement by Boston Architects & Designers Jan Gleysteen Architects,HOME & LIVING
"He's displayed his quirkiness again with some very, um, unique art.",HOME & LIVING
"Create an instant bonfire with these versatile fire pits, perfect for the campsite, the patio, the lawn (but not recommended",HOME & LIVING
You'll be surprised at how others answered the question.,HOME & LIVING
"These sound ""bars"" offer a true alternative to a home theatre system with all of the benefits at a fraction of the cost along with none of the installation hassle and unsightly wires.",HOME & LIVING
The value is nothing to sneeze at.,HOME & LIVING
"The ""table"" just didn't look good on Jslow. Its awkwardly elevated height, cutting her off just below the boobs, produced a matronly, dowdy, squat silhouette",HOME & LIVING
"WATCH: Who says you can't mix duct tape and fashion? Well maybe some people, but in the meantime, check out this DIY wallet",HOME & LIVING
"After you follow our boards (hint hint), make sure to click on these accounts too!",HOME & LIVING
"When Christmas lights meet your favorite liquor bottles, recycling becomes a little more interesting. (Plus, you have a good",HOME & LIVING
So perhaps “Bladderwrack” isn’t the most soothing name you’ve heard in a while. But when this nutrient-rich seaweed is sustainably,HOME & LIVING
"If there's one thing every bedroom needs, it's a nightstand. Small in size yet extremely functional, these little tables",HOME & LIVING
Fashion and decor are blurring the lines once again as The Rug Company has teamed up with style house Alexander McQueen for,HOME & LIVING
Sometimes there's just not enough time during the workdays to accomplish even the simplest diy home projects. Thankfully,HOME & LIVING
Hint: You use them for baking.,HOME & LIVING
If you like it then you can put a monogram on it.,HOME & LIVING
"Downton Abbey is set in the early 20th century, a time when beauty and bath products were made with essential oils and natural ingredients. At bath time, turn back the clock in favor of products that are toxin-free, sustainability-focused, and made without toxins such as Diethanolamine (DEA), sulfates and other synthetic ingredients.",HOME & LIVING
"Though it sounds like a small change, one of the best accessories for changing up the look in a room is a decorative pillow",HOME & LIVING
"Cookware Take a very, very close look before you tote that darling enamelware fondue pot home. If there's even a tiny chip",HOME & LIVING
No trips to the party store necessary.,HOME & LIVING
Q: I will repot the herbs and I was thinking of planting them in a rectangular container because it would fit the window,HOME & LIVING
This looks a whole lot more appealing right about now: Wish we were there: AP Photo/Charles Dharapak Are you sick and tired,HOME & LIVING
Do you have a home story idea or tip? Email us at homesubmissions@huffingtonpost.com. (PR pitches sent to this address will,HOME & LIVING
"One has a movie screen, another has a bocce court.",HOME & LIVING
Marie Antoinette would love this.,HOME & LIVING
"A few of our favorite locations: La Pierre Verte, Languedoc-Roussillon in the south of France, Ecocamp, Patagonia in the",HOME & LIVING
I've somehow accumulated way too many golf balls over the years and I know I'm not the only one.,HOME & LIVING
How do you make appliances sexy? We're imagining that's the question Don Draper would have asked before his lesser-talented,HOME & LIVING
This is probably the stuff that fairytales are made of.,HOME & LIVING
Such a unique e-reader case!,HOME & LIVING
"With this new technology, the possibilities are endless.",HOME & LIVING
They completely cover old furniture and accessories in a cool grey matte finish? We're intrigued.,HOME & LIVING
Here's where you can order fish and seafood online if your grocery store is floundering.,HOME & LIVING
What to do for 15 minutes a week.,HOME & LIVING
"As part of my spring cleaning, I realized something: I have way too many old audio cassette tapes in my possession. A few",HOME & LIVING
"The message these elections have hammered home, and here the ""context"" does matter, is the apparent lack of willingness on the part of these groups to continue to live together.",HOME & LIVING
Among other strange roommates.,HOME & LIVING
"Let's be honest, a bare wall can be a real challenge to decorate. Framed photos and artwork are typical, but for something",HOME & LIVING
The interiors are a mix of midcentury and contemporary styles. The living room has rosewood-paneled walls and a tufted purple,HOME & LIVING
"With the masses becoming more and more enamored with mid century style, prices have been rising on many vintage items from",HOME & LIVING
We're wondering who would be willing to buy it...,HOME & LIVING
One glance through ELLE Decor's March 2012 issue and you can see why the magazine is at the top of the shelter category: Great,HOME & LIVING
"There's a new health adage out now: ""Sitting is the new smoking."" So I increased my workouts one day a week, I swapped my backpack for a pannier that clips to my commuter bicycle, and set to build a standing desk.",HOME & LIVING
All you'll need is a printer.,HOME & LIVING
"Sourwood Caladium Genus: Antirrhinum majus 'Snap Daddy' Zones: All Zones Cost: $6 Expert says: ""This long-blooming snapdragon",HOME & LIVING
"Allow us to dream a little this weekend. Ever since we flipped through the latest issue of Wall Street Journal Magazine, which",HOME & LIVING
"The comedy special ""Aziz Ansari: Right Now"" debuts.",HOME & LIVING
"No detail was overlooked at this palatial estate in Scottsdale. The privately gated manor has 10 fireplaces, a gourmet kitchen",HOME & LIVING
"I always felt that I lacked the vision to pluck some hidden treasure from a thrift store, Craigslist, or flea market and turn it into something amazing. Well, recently an opportunity arose that challenged me to do just that.",HOME & LIVING
"What better way to salute the 4th of July than with this festive Craft Of The Day. These red, white, blue (and bling!) pinwheels",HOME & LIVING
It’s easy to change the look of a bedroom―without even changing the big stuff. Read more on Real Simple,HOME & LIVING
This puts our bunk bed to shame.,HOME & LIVING
DIY ways to rid your home of ghosts (or just some annoying noises).,HOME & LIVING
Life is expensive! Use your talents to help defer the cost.,HOME & LIVING
"From Richmond jerseys to track suits to biscuit-baking essentials, here are the best ""Ted Lasso""-themed gifts.",HOME & LIVING
Fashion mogul Tory Burch is catapulting herself into the decor market with the launch of a new home goods collection. Inspired,HOME & LIVING
These homes take house plants to the next level.,HOME & LIVING
