short_description,category
Airport cellphone waiting areas are starting to look like fast-food drive-ins. A number of airports are allowing food trucks,TRAVEL
"Although its artist says, ""I still think I made him look like Lurch.""",SPORTS
"""You don't have a cold for two weeks ... you don't have headaches, throwing up, weaknesses for two weeks.""",SPORTS
"If you thought you had the coolest house, we’re about to school you.",HOME & LIVING
Sanders is 9 points ahead of Clinton in New Hampshire and trails by 11 points in Iowa.,POLITICS
Think outside groups aren't forces of destruction? Just ask the former speaker.,POLITICS
Virgin Atlantic doesn't belong to any of the big three airline alliances and the airline commands a coveted 304 slots at Heathrow.,TRAVEL
"Laser cut paper easily passes for lace, making it perfect for wedding details. Depending on the design, it can read romantic",HOME & LIVING
Trans people are enlisting in the military. Trump's voter fraud commission is dead. And Steve Bannon has instigated an alt-right civil war. Happy New Year.,POLITICS
"Homeland Security declined to identify the 21 states, however.",POLITICS
"From fuel surcharges to resort fees to port charges, the travel industry's laundry list of ancillary costs grows. Here are some of the fees you should watch out for, along with advice on avoiding the nickel-and-diming when possible.",TRAVEL
"And reader, if you haven't learned the taste of that kind of love yet, I hope you do. I thought of giving up. There was no",TRAVEL
"Imagine walking in dark long corridors that lead into 15 colorful rooms, each one is different from the other. Imagine opening each room's door, not knowing what to expect. But each room is a marvelous surprise. This is how I felt while I was shooting Alma Hotel.",TRAVEL
It was Germany's first gold in women's soccer.,SPORTS
The return of ailing Sen. John McCain suggests the Senate leader may have a plan for reviving Obamacare repeal.,POLITICS
FlightAware.com reports more than 358 flights have been canceled coming into and out of San Francisco. Flight Aware's CEO,TRAVEL
"Perhaps unsurprisingly, the subscriptions are riddled with hidden costs. Flyers seeking to check two bags will have to pay",TRAVEL
Cincinnati Bengals defensive tackle Devon Still shared some great news about his daughter.,SPORTS
"The Kansas Statehouse is one of the most ornate in the country. For a while, wherever my family traveled – New Hampshire",POLITICS
"Legend has it that when Dom Perignon first discovered champagne, he called out, ""Come quickly, I am tasting the stars!"" It's hard to disagree with the Frenchman -- a cool glass of bubbly can make even the most stoic person let loose a giggle or a smirk.",TRAVEL
"So any liability in the lawsuit filed by protesters ""must be shifted"" to the president, he argues.",POLITICS
"An official with the local union told the site that failures by the TSA workers were likely due to poor training, noting",TRAVEL
"Live from Iowa, it's Saturday night!",POLITICS
The issue has long perplexed lower courts and alarmed privacy advocates.,POLITICS
"Republican Party judges people for ""who they love"" but won't reject a ""pedophile,"" says Michael Steele.",POLITICS
Does anyone have a Draymond charger?,SPORTS
Billionaire real estate mogul Donald Trump won the Republican presidential primary in North Carolina on Tuesday. Heading,POLITICS
A significant travel bargain right now---and this is even during the high season--is Kenya where skies are brilliant blue and more than 2 million wildebeest and zebra have migrated from Tanzania into the legendary Masai Mara.,TRAVEL
After the Cards were presented with the Warren C. Giles Trophy by honorary league president Bill Giles before the delirious,SPORTS
"It's hard to ignore the calendar, but, um...we've all been guilty of not realizing a holiday is upon us until it's almost",HOME & LIVING
"The North Korean government is considered one of the world's most brutal, offering its people prison camps and mass starvations",SPORTS
"When the All-Star pitcher was dealt to Boston, it was the fourth time he was traded in six years.",SPORTS
This will be first time an MLB team plays in Cuba since 1999.,SPORTS
The National Football League was on the clock.,SPORTS
"this, We'd all like to do it. Hold on to the last slivers of summer before we hang up our bikinis and swim trunks for our",TRAVEL
In the summertime microwaves are a great alternative to cooking in our ovens. But with a lot of use it's bound to become,HOME & LIVING
"Organizing games or entertainment and forcing everyone to get involved (25%) The survey, which was conducted among 2,010",HOME & LIVING
Did you know bringing the outdoors in can help relieve tension?,HOME & LIVING
"The embattled far-right House member tried to explain her ""Marshall law"" text and we're confused.",POLITICS
A coalition of conservative states led by Texas hopes to kill Obama’s signature immigration achievement.,POLITICS
A window box can enhance the overall appeal of your home and give your plants a great place to live. Eric shows you how to,HOME & LIVING
Marie Antoinette would love this.,HOME & LIVING
"Every week, in our roundup of weird Craigslist finds, you might be fortunate enough to find the perfect quirky addition to",HOME & LIVING
Click through our slideshow of photos from a Tokyo abandoned home and head over to My Science Academy for other eery images,HOME & LIVING
Architecture can be pretty powerful.,HOME & LIVING
"A passerby filmed an unidentified woman grasping the gates of the airport, testing to see if she was strong enough to withstand",TRAVEL
The Interior secretary’s move was immediately slammed as a political favor for Florida Gov. Rick Scott.,POLITICS
"NBA players and Twitter call out the ""heartless clown.""",SPORTS
Look if you dare.,TRAVEL
"Smart travelers know that being a frequent flyer is a game changer. As a member of an airline's frequent flyer program, you'll",TRAVEL
"His bosses were furious. Roger Goodell knew it. So on April 1, 2008, the NFL commissioner convened an emergency session of",SPORTS
"“Here we go again with you’re guilty until proven innocent,"" Trump said.",POLITICS
"We're still learning new things about each other, asking questions as we put ourselves in new situations and refitting the puzzle pieces of our personalities into different pictures as our love matures.",TRAVEL
"Autumn is a season that calls our attention to Nature. It is a beautiful time of year, and I say ""Embrace it!""",HOME & LIVING
"Have something to say? Check out HuffPost Home on Twitter, Facebook, Pinterest, Tumblr and Instagram. ** Scroll through to",HOME & LIVING
"A few foreign films and the ensemble comedy ""Mother's Day"" also made the ranking.",HOME & LIVING
"We took the boat trip because we love traveling in Britain, and we love the serenity of hotel barging. The boat seemed to glide across glass like water, and it rose and fell effortlessly when it we went through locks.",TRAVEL
"H/T: Like Cool We've seen some weird design choices in homes, but artist Jun Kitagawa's giant zipper installation pretty",HOME & LIVING
"There are just so many things to consider before tying the knot, that brides-to-be can often forget about themselves -- and the importance of maintaining their own sanity -- amidst all the hustle and bustle.",TRAVEL
"As Team USA racks up wins, the president has been unusually silent.",POLITICS
"Brothers Paul and Gary O’Donovan are being hailed as ""Ireland's gift to the world.""",SPORTS
"If your kitchen's design makes you feel like you should be grooving to the Village People, it's probably time for an upgrade. And there are plenty of ways to make your kitchen stylish again without calling a contractor and dipping into your savings.",HOME & LIVING
"There's a new health adage out now: ""Sitting is the new smoking."" So I increased my workouts one day a week, I swapped my backpack for a pannier that clips to my commuter bicycle, and set to build a standing desk.",HOME & LIVING
The team plans to wear the patch all year to commemorate the shooting at Marjory Stoneman Douglas High School.,SPORTS
"Maybe it's because we love writing and all the letters and symbols that make up our language, but we think this playful chair",HOME & LIVING
